,name,image:,address,tel,extendsection,other,email,web
0,Mison Trans - Công Ty Vận Tải Miên Sơn,https://trangvangvietnam.com/images/5star.png,"200 Quốc Lộ 13 (Cũ), KP. 1, P. Hiệp Bình - Phước, Q. Thủ Đức, Tp. Hồ Chí Minh (TPHCM), Việt Nam"," (028) 73036348, Hotline: 1900636348","Văn Phòng: 104 Đường Số 1, P. 4, Q. Gò Vấp, TPHCM","
MISON TRANS gần 10 năm trong lĩnh vực dịch vụ Logistics: 
● Khai thuê, tư vấn, làm thủ tục hải quan
● Vận chuyển hàng hóa nội địa, quốc tế bằng đường bộ, đường biển, đường không
● Ship hàng từ Đài Loan, Trung Quốc về Việt Nam,..
MISON TRANS  tự hào thành viên của:
→  JCtrans Logistics Network - Mạng lưới logistics toàn cầu JCTrans với +1,000 thành viên GCP trên +200 quốc gia.
→  FIATA – Hiệp hội giao nhận vận tải quốc tế với khoảng 40.000 công ty logistics
→  VLA – Hiệp hội doanh nghiệp dịch vụ Logistics Việt Nam.
",mailto:lp@misontrans.com                                 ,http://misontrans.com
1,Logistics Vinalink - Công Ty Cổ Phần Logistics Vinalink,https://trangvangvietnam.com/images/5star.png,"44 Trường Sơn, P. 2, Q. Tân Bình, Tp. Hồ Chí Minh (TPHCM), Việt Nam",0974.318.573,"Trụ Sở: 226/2 Lê Văn Sỹ, P. 1, Q. Tân Bình, TP Hồ Chí MinhCN Hà Nội: Tầng 6, Tòa Nhà 14, Láng Hạ, Q. Ba Đình, Hà Nội","
Logistics VINALINK − Tạo nên SỰ KHÁC BIỆT với:→ 25 năm hình thành & phát triển→ Hệ thống đại lý hàng không/ tàu biển rộng khắp
→ Tổng diện tích kho bãi 14.000m2→ Đội xe container/ xe tải nhẹ/ xe nâng trên 30 chiếc→ Chất lượng dịch vụ đạt chuẩn quốc tế cho hàng nội địa & xuất/ nhập khẩuchuyên: Giao nhận vận chuyển đường không, đường biển, dịch vụ kho bãi, khai thuê hải quan, xuất nhập khẩu, bảo hiểm, phân phối, chia lẻ hàng hóa,..
",mailto:nampx@vinalinklogistics.com                       ,http://transportvietnam.bizz.vn
2,"PALM LOGISTICS CO., LTD",https://trangvangvietnam.com/images/5star.png,"SAV.3-02.05, Tầng 2, Tháp 3, The Sun Avenue, Số 28 Mai Chí Thọ, P. An Phú, TP. Thủ Đức, Tp. Hồ Chí Minh (TPHCM), Việt Nam"," (028) 73005790, 096 993 89 89","Chi Nhánh: 16/73 Lê Lai, Q. Ngô Quyền, TP. Hải Phòng","
Hàng trăm đối tác trên toàn thế giới đều hài lòng khi sử dụng PALM LOGISTICS − Chuỗi dịch vụ hậu cần HOÀN HẢO đến khó tin!
☞ Vận tải quốc tế/ nội địa an toàn bằng mọi phương thức: Đường không, đường biển, đường bộ cho mọi mặt hàng: Hàng lẻ, hàng rời, hàng nguyên chuyến, hàng tiêu dùng, hàng quá khổ,..
☞ Hoạt động XNK trơn tru với các dịch vụ hải quan, thông quan, ủy thác XNK
☞ Cho thuê kho bãi, đóng gói & mở hàng hóa hiệu quả, tin cậy
Khẳng định danh hiệu: Thương hiệu HÀNG ĐẦU Việt Nam (Top Brands) 2014.
",mailto:info@palmlogvn.com                                ,http://www.palmlogvn.com
3,Chi Nhánh Công Ty CP Đại Lý Hàng Hải Việt Nam - Đại Lý Hàng Hải Đà Nẵng (VOSA DANANG),https://trangvangvietnam.com/images/5star.png,"52 Pasteur, P. Hải Châu 1, Q. Hải Châu, Tp. Đà Nẵng, Việt Nam"," (0236) 3837775Hotline: 0913417333,",,"
✓ Là thành viên của các Hiệp hội lớn như FIATA, IATA, BIMCO, VCCI, VISABA, VLA.
✓ Sở hữu đội ngũ hơn 700 cán bộ và nhân viên lành nghề về lĩnh vực Logistics
✓ Là đơn vị hàng đầu tại Việt Nam trong các lĩnh vực:
+ Giao nhận vận tải Quốc tế bằng đường biển, đường hàng không và đường sắt 
+ Vận chuyển đường bộ trong nước và quá cảnh Lào.
+ Đại lý tàu biển, cung ứng tàu biển, dịch vụ hàng hải, kho bãi
+ Tư vấn xuất nhập khẩu, làm dịch vụ thủ tục hải quan, cung cấp FCR (FIATA Forwarders Certificate Of Receipt – Cấp Giấy chứng nhận nhận hàng của FIATA).
>>> VOSA DANANG - Nhà cung cấp dịch vụ Logistics tin cậy của mọi khách hàng.
",mailto:toanvm.dng@vosagroup.com                          ,http://vosadanang.bizz.vn
4,Kho Vận Danko - Chi Nhánh Công Ty TNHH Kho Vận Danko,https://trangvangvietnam.com/images/5star.png,"Lầu 6, Tòa nhà CT-IN, 435 Hoàng Văn Thụ, P. 4, Q. Tân Bình, Tp. Hồ Chí Minh (TPHCM), Việt Nam"," (028) 38114033, Hotline: 0918 670 369",,"
Dịch vụ LOGISTICS DANKO - Tận tâm tới từng chuyến hàng!
✓ Hơn 20 năm kinh nghiệm trong ngành phục phục cho nhiều đối tác khách hàng: Komatsu, Inoue Rubber, Sato Việt Nam, Ogino Việt Nam, Santomas Việt Nam,..
✓ Chi nhánh đặt tại hai cảng biển Hồ Chí Minh và Hải Phòng
✓ Hệ thống đại lý ở hơn 130 quốc gia
✓ Có mối quan hệ sâu rộng với các chi cục hải quan, cảng vụ
✓ Hàng ngàn lô hàng xuất, nhập khẩu thông quan mỗi năm 
✓ Thủ tục nhanh chóng, giao hàng đúng hẹn
Chúng tôi luôn sẵn sàng đáp ứng các nhu cầu về dịch vụ Logistics: Vận tải, giao nhận hàng hóa, xuất nhập khẩu, hải quan, dịch vụ kho bãi,..
",mailto:quangquyet@danko.com.vn                           ,http://danko.com.vn
5,Giao Nhận TOPASIA - Công Ty TNHH TOPASIA  Hải Phòng,https://trangvangvietnam.com/images/5star.png,"P819B, Tòa Nhà VP Thùy Dương, Lô 20A Lê Hồng Phong, P. Đông Khê, Q. Ngô Quyền, Tp. Hải Phòng, Việt Nam", (0225) 653736 - 0913.514.556,,"
☑ Hơn 10 năm kinh nghiệm trong lĩnh vực Logistics tại Châu Á
☑ Đội ngũ hơn 100 nhân viên giàu kinh nghiệm, chuyên nghiệp và nhạy bén
TOPASIA - Dịch vụ đa dạng:
➥ Dịch vụ tư vấn thủ tục và ủy thác xuất nhập khẩu
➥ Dịch vụ khai thuê hải quan
➥ Dịch vụ vận chuyển door to door, dịch vụ đặt tàu xe,..
Cam kết: Chu đáo - Trách nhiệm - Chính xác - An toàn - Tiết kiệm!
",mailto:andy@talhp.vn                                     ,http://topasia.com.cn
6,Logistic ánh Kim - Công Ty TNHH Dịch Vụ Và Thương Mại Quốc Tế ánh Kim,https://trangvangvietnam.com/images/5star.png,"Khu Thống Nhất, Thị Trấn Lai Cách, Huyện Cẩm Giàng, Hải Dương, Việt Nam", (0220) 3786933 - Hotline: 0982.180.111,,"
Ánh Kim ☞ Hơn 8 năm cung cấp Dịch Vụ Logistics chuyên nghiệp:
- Vận chuyển nội địa, quốc tế đa phương thức: Đường bộ, đường thủy, đường hàng không,..
- Dịch vụ hải quan, khai thuê hải quan, ủy thác XNK hàng hóa, đại lý cước,..
- Dịch vụ bốc xếp, xếp dỡ, giao nhận hàng hóa tại các công ty, xí nghiệp, kho bãi,..
► Cam kết: 
+ Dịch vụ nhanh chóng, đúng lịch trình, đúng tiến độ
+ Đảm bảo hàng hóa nguyên vẹn, không tiêu hao, không thiếu hụt.
+ Đội ngũ nhân viên giàu kiến thức nghiệp vụ và kinh nghiệm thực tế.
",mailto:info@anhkimlog.com.vn                             ,http://anhkimlog.com.vn
7,Công Ty TNHH Knight Logistics,https://trangvangvietnam.com/images/5star.png,"Lầu 7 Toà Nhà Kicotrans, 46 Bạch Đằng, Phường 2, Quận Tân Bình, Tp. Hồ Chí Minh (TPHCM), Việt Nam"," (028) 7 300 4422, Hotline: 1900 989 802",,"
Dịch vụ Logistics uy tín, chuyên nghiệp - CÔNG TY TNHH KNIGHT LOGISTICS
✈ Là đại lí thủ tục Hải quan chính thức tại Việt Nam.
✈ Có giấy phép vận tải đa phương thức - Multimodal Transport Operator License
✈ Đại lý chính thức của Hiệp hội Vận tải Hàng không Quốc tế (IATA) số #37300350006
✈ Phương tiện vận tải đa dạng, luôn sẵn sàng phục vụ khách hàng.
✈ Đội ngũ nhân viên chuyên nghiệp, đầy nhiệt huyết, luôn tân tâm tận lực.
✈ Môi trường làm việc thì hết sức chuyên nghiệp. 
➡ Có mạng lưới văn phòng tại các cửa khẩu lớn có thể xử lý tất cả lô hàng tại Việt Nam và có hệ thống đại lý tại các nước trên thế giới. 
➡ Các đối tác lớn: AirFrance, Vietnamairlines, China Airlines, Vietjet, ONE, CMA,..
",mailto:csm@knight.com.vn                                 ,http://knight.com.vn
8,PCL - Công Ty Cổ Phần Vận Tải Biển Container Thái Bình Dương,https://trangvangvietnam.com/images/4star.png,"Tầng 15, Tòa Tháp Hòa Bình, 106 Hoàng Quốc Việt, P. Nghĩa Đô, Q. Cầu Giấy, Hà Nội, Việt Nam"," (024) 32005711, 0981 398 398",,"
aaaaaaaaqqqqqqaaPCL - Giải Pháp Logistics Toàn cầu!
Vận Tải Biển Container Thái Bình Dương (Pacific Container Lines - PCL) chuyên
▬ Dịch vụ vận tải nội địa, vận tải quốc tế, vận chuyển bằng đường hàng không, vận chuyển đường bộ, vận chuyển xuyên Việt,..
▬ Dịch vụ hải quan | Dịch vụ kho bãi
▬ Dịch vụ thuê và cho thuê tàu, đại lý tàu biển.
>>> Đặc biệt, chúng tôi là thành viên của các hiệp hội gồm: Amcham, Eurocham, Korcham, VLA, WCA.
 >>> Thương hiệu khách hàng phục vụ: Unilever, Coca-Cola, LG Electronics Việt Nam, Panasonic, Mitsubishi, Hitachi Asia - Việt Nam, Lavie, Tập đoàn Massan,..
",mailto:pcl@pacificcontainer.com.vn                       ,http://pacificcontainer.com.vn
9,Vận Tải Trang Huy - Công Ty TNHH Thương Mại Và Giao Nhận Vận Tải Quốc Tế Trang Huy,https://trangvangvietnam.com/images/4star.png,"Số 358 Đường Xuân Đỉnh, P. Xuân Đỉnh, Q. Bắc Từ Liêm, Hà Nội, Việt Nam","0903 269 299, 0963 567 700",,"
Là thành viên của BNI Chapter Lucky, VCCI, Trang Huy tự tin mang đến dịch vụ:
✈ Vận tải hàng hóa bằng đường bộ, đường thủy, đường không, đường sắt.
✈ Vận chuyển thi công và lắp đặt máy móc, thiết bị, hàng hóa siêu trường siêu trọng, hàng công trình, hàng dự án,..
✈ Cung cấp dịch vụ hải quan, kinh doanh, cho thuê kho bãi, cung cấp tàu biển, môi giới tàu biển, logistic đa phương thức, thu gom hàng lẻ, hàng rời.
Với cam kết:
✓ Bảo đảm về quyền lợi cho khách hàng khi sử dụng dịch vụ vận chuyển
✓ Giải quyết nhanh những nhu cầu vận chuyển của khách hàng
✓ Giữ gìn, bảo vệ hàng hóa nguyên vẹn hoàn toàn khi vận chuyển.
",mailto:bichthuy@tranghuylogistics.com                    ,http://tranghuylogistics.com
