,name,image:,address,tel,extendsection,other,email,web
0,Giao Nhận Thương Phát - Công Ty TNHH Giao Nhận Thương Phát,None,"Tầng 15, Phòng 1508, Tòa Nhà Vincom Center, 72 Lê Thánh Tôn, P. Bến Nghé, Q. 1, Tp. Hồ Chí Minh (TPHCM), Việt Nam", (028) 62944322,,None,mailto:admin@thuongphatlogistics.com.vn                  ,http://thuongphatlogistics.com.vn
1,Công Ty CP Giao Nhận Và Vận Tải Quốc Tế Hải Khánh - Văn Phòng Hà Nội,None,"Số 5B/55, Đường Huỳnh Thúc Kháng, Q. Đống Đa, Hà Nội, Việt Nam", (024) 37712297,,None,mailto:gm.han@haikhanh.com                               ,http://haikhanh.com
2,Công Ty TNHH Giao Nhận Vận Tải Khôi Minh,None,"Khu Tái Định Cư, Thôn Tự Khoát, X. Ngũ Hiệp, H. Thanh Trì, Hà Nội, Việt Nam", (024) 36865333,,None,mailto:bella@kmlog.com.vn                                ,http://kmlog.com.vn
3,Bảo Phát Logistics - Công Ty Cổ Phần Thương Mại Dịch Vụ Logistics Bảo Phát,None,"209 Nguyễn Thị Nhỏ, Phường 9, Quận Tân Bình, Tp. Hồ Chí Minh (TPHCM), Việt Nam","0989995456, 0856523888","Nhà xưởng:  Lô F1, Đường D1, Khu Công Nghiệp Cát Lái 2, Phường Thạnh Mỹ Lợi, Quận 2, TP. Hồ Chí Minh",None,mailto:Baophatlogistics@gmail.com                        ,http://www.baophatlogistics.com.vn
4,Than LEC Group - Công Ty Cổ Phần LEC Group,None,"Đường Số 4, KCN Phú Mỹ 1, P. Phú Mỹ, TX. Phú Mỹ, Bà Rịa-Vũng Tàu, Việt Nam", (0254) 3897789,,None,mailto:info@lecvietnam.com                               ,http://lecvietnam.com
5,Vận Tải Phú Hải Giang - Công Ty TNHH Xuất Nhập Khẩu Phú Hải Giang,None,"Số 20A/380 Thiên Lôi, P. Vĩnh Niệm, Q. Lê Chân, Tp. Hải Phòng, Việt Nam"," (0225) 2616001, 0962 073 926",,None,mailto:phuhaigiang@gmail.com                             ,http://vantaiphuhaigiang.bizz.vn
6,Công Ty TNHH Thương Mại Và Dịch Vụ Hà Kim Hải,None,"14/13C Lê Đức Thọ, P. 9, Q. Gò Vấp, Tp. Hồ Chí Minh (TPHCM), Việt Nam", (028) 62572369,,None,mailto:philip@hakimhai.com                               ,http://www.hakimhai.com
7,Công Ty TNHH Leman,None,"10 Nguyễn Cửu Vân, P. 17, Q. Bình Thạnh, Tp. Hồ Chí Minh (TPHCM), Việt Nam", (028) 35147677,,None,mailto:minhman@manle.vn                                  ,http://manle.vn
8,Tín Phước - Công Ty Chuyển Phát Nhanh Tín Phước,None,"1K Nguyễn Thúc Dương, Q. Bình Tân, Tp. Hồ Chí Minh (TPHCM), Việt Nam", (028) 3951839,,None,mailto:info@tinphuoclogistics.com.vn                     ,http://www.tinphuoclogistics.com.vn
9,Công Ty TNHH Thương Mại Vận Tải Và Dịch Vụ Hải Thiên,None,"Tầng 5, Tòa Nhà Vinahud, Đường Trung Yên, Q. Cầu Giấy, Hà Nội, Việt Nam", (024) 37836434,,None,mailto:osclogistics@gmail.com                            ,http://osc-logistics.com
